id,Date,Tweet,cleaned_tweet,Json,labels
0,2020-05-20 22:21:08+00:00,चक्रवात अम्फान प्रभाव कोरोनवायरस से भी बदतर: ममता बनर्जी https://t.co/Xt0sVp9myE,चक्रवात अम्फान प्रभाव कोरोनवायरस से भी बदतर: ममता बनर्जी,"{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,2020-05-21 11:25:45+00:00,"चक्रवात अम्फान ने बंगाल में मचाई भारी तबाही, सचिवालय को भी पहुंचा नुकसान https://t.co/n8mEcWMBZo","चक्रवात अम्फान ने बंगाल में मचाई भारी तबाही, सचिवालय को भी पहुंचा नुकसान ","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": ""भारी तबाही, सचिवालय को भी पहुंचा नुकसान"",
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'B-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE']"
2,2020-05-22 15:49:57+00:00,"#NewIndia #BJP4India #BJP4MP #BJP4SIDHI

चक्रवात 'अम्फान': प्रधानमंत्री मोदी बंगाल, ओडिशा में प्रभावित क्षेत्रों का हवाई सर्वेक्षण करेंगे
https://t.co/q5tgzbuEdd

via NaMo App https://t.co/frDtSHpmDV","4  4  4

चक्रवात 'अम्फान': प्रधानमंत्री मोदी बंगाल, ओडिशा में प्रभावित क्षेत्रों का हवाई सर्वेक्षण करेंगे","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,2020-05-22 12:36:13+00:00,"#WeatherUpdate : चक्रवात अम्‍फान के बाद अब देश के इन इलाकों में अब चलेगी भीषण लू
#heatwave 
https://t.co/KUFBOGzCWb","  : चक्रवात अम्फान के बाद अब देश के इन इलाकों में अब चलेगी भीषण लू
  
","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,2020-05-19 12:34:03+00:00,चक्रवात अम्फान : एनसीएमसी का निचले इलाकों को समय पर खाली कराने पर जोर https://t.co/ZmiTgc2bnH,चक्रवात अम्फान : एनसीएमसी का निचले इलाकों को समय पर खाली कराने पर जोर,"{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,2020-05-26 00:55:13+00:00,"चक्रवात अम्फान: आवश्यक सेवाएं बड़े पैमाने पर बहाल, ममता सामान्य स्थिति के लिए लोगों का सहयोग चाहती हैं https://t.co/ozLDAOwdFC","चक्रवात अम्फान: आवश्यक सेवाएं बड़े पैमाने पर बहाल, ममता सामान्य स्थिति के लिए लोगों का सहयोग चाहती हैं ","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,2020-05-21 15:37:45+00:00,"कल शुक्रवार को #प्रधानमंत्री @narendramodi #चक्रवात #अम्फान के मद्देनजर हुई स्थिति का जायजा लेने के लिए पश्चिम बंगाल और ओडिशा की यात्रा करेंगे। पीएम हवाई सर्वेक्षण करेंगे और समीक्षा बैठकों में हिस्सा लेंगे, जहां राहत और पुनर्वास के मामलों पर चर्चा की जाएगी।","कल शुक्रवार को     के मद्देनजर हुई स्थिति का जायजा लेने के लिए पश्चिम बंगाल और ओडिशा की यात्रा करेंगे। पीएम हवाई सर्वेक्षण करेंगे और समीक्षा बैठकों में हिस्सा लेंगे, जहां राहत और पुनर्वास के मामलों पर चर्चा की जाएगी।","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": ""राहत और पुनर्वास के मामलों पर चर्चा की जाएगी।""
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF']"
7,2020-05-16 19:35:57+00:00,"चक्रवात अम्फान के 18 मई तक ओडिशा-बंगाल से टकराने की आशंका, ओडिशा में स्पेशल ट्रेनों को रोकने की मांग की गई https://t.co/qKHAwmf7Pa","चक्रवात अम्फान के 18 मई तक ओडिशा-बंगाल से टकराने की आशंका, ओडिशा में स्पेशल ट्रेनों को रोकने की मांग की गई","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,2020-05-20 01:50:42+00:00,"चक्रवात अम्फान को देखते हुए अब तक 1,704 शेल्टर होम तैयार किए गए हैं और 1,19,075 लोगों को निकाला गया है। #CycloneAmphan https://t.co/XXxE0rTKxc","चक्रवात अम्फान को देखते हुए अब तक 1,704 शेल्टर होम तैयार किए गए हैं और 1,19,075 लोगों को निकाला गया है।","{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": ""1,704 शेल्टर होम तैयार किए गए हैं और 1,19,075 लोगों को निकाला गया है""
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'O']"
9,2020-05-22 07:21:55+00:00,चक्रवात अम्फान को आइला से कहीं अधिक विनाशकारी माना जा रहा: संयुक्त राष्ट्र https://t.co/hfn8GT3BaS,चक्रवात अम्फान को आइला से कहीं अधिक विनाशकारी माना जा रहा: संयुक्त राष्ट्र,"{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""INJURED"": NaN,
  ""TRAP"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
