id,Date,Tweet,cleaned_tweet,Json,Help and Relief Phrase,Damage Phrase,Loss Phrase,labels
0,2023-02-07 05:41:02+00:00,"Turkey Earthquake Update: तुर्की-सीरिया में भूकंप से तबाही, 4 हजार से ज्यादा की मौत, भारत से NDRF टीम रवाना 
#Turkey #TurkeyQuake #earthquakeinturkey 
@rashid_hashmi https://t.co/ojXf5umFDv",": तुर्की-सीरिया में भूकंप से तबाही, 4 हजार से ज्यादा की मौत, भारत से  टीम रवाना","{
    ""DEATHS"": ""4 हजार से ज्यादा की मौत"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""भारत से टीम रवाना""
}",भारत से टीम रवाना,भूकंप से तबाही,,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF']"
1,2023-02-10 04:34:06+00:00,"तुर्की-सीरिया भूकंप में मरने वालों की संख्या 20,000 के पार।

तुर्की में अब तक 17,000 से अधिक और सीरिया में 3,000 से अधिक लोगों की मौत हो चुकी है।

सर्दियों के बीच कई लोग बेघर हो गए हैं।

#Turkey #Syria","तुर्की-सीरिया भूकंप में मरने वालों की संख्या 20,000 के पार।

तुर्की में अब तक 17,000 से अधिक और सीरिया में 3,000 से अधिक लोगों की मौत हो चुकी है।

सर्दियों के बीच कई लोग बेघर हो गए हैं।","{
    ""DEATHS"": ""मरने वालों की संख्या 20,000 के पार। तुर्की में अब तक 17,000 से अधिक और सीरिया में 3,000 से अधिक लोगों की मौत"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": ""कई लोग बेघर हो गए हैं"",
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'O']"
2,2023-02-07 11:14:24+00:00,"तुर्की-सीरिया में भूकंप की तबाही से हाहाकार, मौ’त का आंकड़ा 5000 पार, जानें अब तक के सभी अपडेट https://t.co/8sZ6tF7yD1","तुर्की-सीरिया में भूकंप की तबाही से हाहाकार, मौ’त का आंकड़ा 5000 पार, जानें अब तक के सभी अपडेट","{
    ""DEATHS"": ""मौ’त का आंकड़ा 5000 पार"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,तबाही से हाहाकार,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,2023-02-10 12:32:09+00:00,"🚨#FactCheck - जहाज को पानी में डूबते दिखाने वाला वीडियो 2011 का है जब जापान में सुनामी आयी थी, वीडियो को हाल ही में तुर्की- सीरिया भूकंप के दृश्य के रूप में वायरल किया जा रहा है।✅

https://t.co/52ZX54YSxn","- जहाज को पानी में डूबते दिखाने वाला वीडियो 2011 का है जब जापान में सुनामी आयी थी, वीडियो को हाल ही में तुर्की- सीरिया भूकंप के दृश्य के रूप में वायरल किया जा रहा है।","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,2023-02-08 12:43:34+00:00,"तुर्की, सीरिया में भूकंप से मरने वालों की संख्या 8,326 पहुंची https://t.co/5J73SJqo9Y","तुर्की, सीरिया में भूकंप से मरने वालों की संख्या 8,326 पहुंची","{
    ""DEATHS"": ""मरने वालों की संख्या 8,326 पहुंची"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS']"
5,2023-02-09 06:49:56+00:00,"तुर्की, सीरिया में भूकंप की आयी दर्दनाक तस्वीरें एक इमारत के मलबे में दबी ये गुड़िया 17 घंटे तक अपने छोटे भाई के सर को सहलाती रही और आख़िर में दोनों को सेफ़ निकाल लिया गया !
भारत सरकार ने भी NDRF की टीम भेजी है!! https://t.co/lVWfonQ68t","तुर्की, सीरिया में भूकंप की आयी दर्दनाक तस्वीरें एक इमारत के मलबे में दबी ये गुड़िया 17 घंटे तक अपने छोटे भाई के सर को सहलाती रही और आख़िर में दोनों को सेफ़ निकाल लिया गया !
भारत सरकार ने भी  की टीम भेजी है!!","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": ""एक इमारत के मलबे में दबी ये गुड़िया 17 घंटे तक अपने छोटे भाई के सर को सहलाती रही"",
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""भारत सरकार ने भी की टीम भेजी है""
}",भारत सरकार ने भी की टीम भेजी,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'I-AFFECTED POPULATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'O']"
6,2023-02-09 09:22:27+00:00,"तुर्की, सीरिया: भूकंप के बाद मौत को हराने वाले ‘चमत्कारों’ की कहानी | https://t.co/aoHkBQimwx | #WNN7IN #WNN7Hindi #WorldNewsNuggets","तुर्की, सीरिया: भूकंप के बाद मौत को हराने वाले ‘चमत्कारों’ की कहानी |  |  7  7","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,2023-02-06 17:58:03+00:00,"तुर्की, सीरिया में भूकंप से 2,300 से अधिक की मौत। यह इतना गंभीर क्यों था?
-World News-FastNews1
https://t.co/qwpYwVP7q9","तुर्की, सीरिया में भूकंप से 2,300 से अधिक की मौत। यह इतना गंभीर क्यों था?
- -1","{
    ""DEATHS"": ""2,300 से अधिक की मौत"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,2023-02-17 05:21:44+00:00,"तुर्की, सीरिया में भूकंप पीड़ितों की सहायता के लिए यूएई की त्वरित प्रतिक्रिया ने बदलाव लाया https://t.co/idUyZeH3x6 
#WamNews","तुर्की, सीरिया में भूकंप पीड़ितों की सहायता के लिए यूएई की त्वरित प्रतिक्रिया ने बदलाव लाया  
 ","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""यूएई की त्वरित प्रतिक्रिया ने बदलाव लाया""
}",पीड़ितों की सहायता के लिए यूएई की त्वरित प्रतिक्रिया,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF']"
9,2023-02-06 05:55:00+00:00,"Turkey Earthquake: तुर्की-सीरिया में भूकंप, 100 से ज्यादा की मौत 

#Turkey #Earthquake https://t.co/GJ04hIu3SQ",": तुर्की-सीरिया में भूकंप, 100 से ज्यादा की मौत","{
    ""DEATHS"": ""100 से ज्यादा की मौत"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS']"
