id,Date,Tweet,cleaned_tweet,hashtags,chatgpt annotation,labels
0,2021-02-09 04:10:49+00:00,"उत्तराखंड में आयी भीषण बाढ़ के बाद राहुल गांधी जी के निर्देशानुसार युवा कांग्रेस के कार्यकर्ताओं ने प्रशासन के साथ संभाला मोर्चा,

रुद्रप्रयाग जिला अध्यक्ष संतोष रावत एवं बद्रीनाथ विधानसभा अध्यक्ष योगेंद्र सिंह के नेतृत्व में बाढ़ के चलते लापता हुए लोगों को ढूढंने का प्रयास जारी https://t.co/EHZ0NyKdOH","उत्तराखंड में आयी भीषण बाढ़ के बाद राहुल गांधी जी के निर्देशानुसार युवा कांग्रेस के कार्यकर्ताओं ने प्रशासन के साथ संभाला मोर्चा,

रुद्रप्रयाग जिला अध्यक्ष संतोष रावत एवं बद्रीनाथ विधानसभा अध्यक्ष योगेंद्र सिंह के नेतृत्व में बाढ़ के चलते लापता हुए लोगों को ढूढंने का प्रयास जारी ",[],"{
  ""DEATHS"": NaN,
  ""MISSING"": ""लापता हुए लोगों को ढूंढने का प्रयास जारी"",
  ""TRAP"": NaN,
  ""INJURED"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": ""लापता हुए लोगों को ढूंढने का प्रयास जारी""
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'O', 'O', 'O', 'O']"
1,2021-02-07 09:15:51+00:00,"चमोली में ग्लेशियर फटने से बाढ़ त्रासदी बेहद ही दुखद है...
मेरी संवेदनाएँ उत्तराखंड की लोगों के साथ हैं...🙏🏻🙏🏻🙏🏻🙏🏻
#uksnow #उत्तराखंड #उत्तराखंड_आपदा","चमोली में ग्लेशियर फटने से बाढ़ त्रासदी बेहद ही दुखद है...
मेरी संवेदनाएँ उत्तराखंड की लोगों के साथ हैं...
   ","['उत्तराखंड', 'उत्तराखंड_आपदा']","{ ""DEATHS"": NaN, ""MISSING"": NaN, ""INJURED"": NaN, ""TRAP"": NaN, ""AFFECTED POPULATION"": NaN, ""PLANT AND ANIMAL LOSS"": NaN, ""HEALTH ISSUES"": NaN, ""FOOD SHORTAGE"": NaN, ""FINANCIAL CRISIS"": NaN, ""INFRASTRUCTURE DAMAGE"": NaN, ""HELP AND RELIEF"": NaN }","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,2021-02-07 09:07:48+00:00,उत्तराखंड के जोशीमठ तपोवन क्षेत्र में ग्लेशियर टूटने से ऋषि गंगा नदी में आयी आकस्मिक बाढ़ से बड़ी हानि की आशंका।ईश्वर से प्रार्थना है कि लोगों के जान माल की रक्षा करें।केंद्र और राज्य सरकार तत्पारत से राहत कार्य में लगी हैं. #Uttrakhand,उत्तराखंड के जोशीमठ तपोवन क्षेत्र में ग्लेशियर टूटने से ऋषि गंगा नदी में आयी आकस्मिक बाढ़ से बड़ी हानि की आशंका।ईश्वर से प्रार्थना है कि लोगों के जान माल की रक्षा करें।केंद्र और राज्य सरकार तत्पारत से राहत कार्य में लगी हैं.,[],"{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""TRAP"": NaN,
    ""INJURED"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""केंद्र और राज्य सरकार तत्पारत से राहत कार्य में लगी""
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,2021-02-10 02:32:23+00:00,"उत्तराखंड आपदा : भीषण बाढ़ में हिमाचल 7 युवक भी लापता, नहीं मिला कोई सुराग https://t.co/nRj2oHhUbW","उत्तराखंड आपदा : भीषण बाढ़ में हिमाचल 7 युवक भी लापता, नहीं मिला कोई सुराग ",[],"{
  ""DEATHS"": NaN,
  ""MISSING"": ""7 युवक भी लापता"",
  ""TRAP"": NaN,
  ""INJURED"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISSING', 'I-MISSING', 'I-MISSING', 'O', 'O', 'O', 'O', 'O']"
4,2021-02-07 10:31:15+00:00,"उत्तराखंड: चमोली में ग्लेशियर फटने से बाढ़ त्रासदी बेहद दुखद!

Prayers for #Uttarakhand https://t.co/BcIxBMj8bo","उत्तराखंड: चमोली में ग्लेशियर फटने से बाढ़ त्रासदी बेहद दुखद!

    ",[],"{ ""DEATHS"": NaN, ""MISSING"": NaN, ""INJURED"": NaN, ""TRAP"": NaN, ""AFFECTED POPULATION"": NaN, ""PLANT AND ANIMAL LOSS"": NaN, ""HEALTH ISSUES"": NaN, ""FOOD SHORTAGE"": NaN, ""FINANCIAL CRISIS"": NaN, ""INFRASTRUCTURE DAMAGE"": NaN, ""HELP AND RELIEF"": NaN }","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,2021-02-07 07:07:02+00:00,"चमोली जिले में ग्लेशियर फटने से धौली नदी में बाढ़ से हरिद्वार तक बढ़ा खतरा, अलर्ट...
उत्तराखंड के चमोली जिले के रैनी में ग्लेशियर फटने से धौली नदी में बाढ़...","चमोली जिले में ग्लेशियर फटने से धौली नदी में बाढ़ से हरिद्वार तक बढ़ा खतरा, अलर्ट...
उत्तराखंड के चमोली जिले के रैनी में ग्लेशियर फटने से धौली नदी में बाढ़...",[],"{ ""DEATHS"": NaN, ""MISSING"": NaN, ""INJURED"": NaN, ""TRAP"": NaN, ""AFFECTED POPULATION"": NaN, ""PLANT AND ANIMAL LOSS"": NaN, ""HEALTH ISSUES"": NaN, ""FOOD SHORTAGE"": NaN, ""FINANCIAL CRISIS"": NaN, ""INFRASTRUCTURE DAMAGE"": NaN, ""HELP AND RELIEF"": NaN }","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,2021-02-08 08:56:46+00:00,"उत्तराखंड: ग्लेशियर टूटने से ऋषिगंगा में आई बाढ़, अनिल बलूनी बोले- रेस्क्यू जारी, लोगों की जान बचाना हमारी प्राथमिकता 
https://t.co/ONBIUYJQYS","उत्तराखंड: ग्लेशियर टूटने से ऋषिगंगा में आई बाढ़, अनिल बलूनी बोले- रेस्क्यू जारी, लोगों की जान बचाना हमारी प्राथमिकता 
",[],"{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""TRAP"": NaN,
  ""INJURED"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": NaN,
  ""HELP AND RELIEF"": ""रेस्क्यू जारी, लोगों की जान बचाना प्राथमिकता""
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'O', 'O']"
7,2021-02-08 05:47:21+00:00,"बाढ़, भूकंप, दंगे, चुनाव
फौजी सिर्फ सरहदों पर नहीं लड़ता....

उत्तराखंड की रक्षा करना महादेव! इस आपदा से लड़ने की शक्ति देना । 🙌🙏🙏🙏🙏
#UttrakhandFlood","बाढ़, भूकंप, दंगे, चुनाव
फौजी सिर्फ सरहदों पर नहीं लड़ता....

उत्तराखंड की रक्षा करना महादेव! इस आपदा से लड़ने की शक्ति देना । 
 ",[],"{ ""DEATHS"": NaN, ""MISSING"": NaN, ""INJURED"": NaN, ""TRAP"": NaN, ""AFFECTED POPULATION"": NaN, ""PLANT AND ANIMAL LOSS"": NaN, ""HEALTH ISSUES"": NaN, ""FOOD SHORTAGE"": NaN, ""FINANCIAL CRISIS"": NaN, ""INFRASTRUCTURE DAMAGE"": NaN, ""HELP AND RELIEF"": NaN }","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,2021-02-07 17:09:21+00:00,"चमौली के रेनी गाँव में ग्लेशियर फटने से बाढ़ त्रासदी बेहद दुखद है. मेरी संवेदनाएँ उत्तराखंड की जनता के साथ हैं. राहत कर्मी दल के जज्बे को नमन
#चमोली_आपदा 
#उत्तराखंड_आपदा","चमौली के रेनी गाँव में ग्लेशियर फटने से बाढ़ त्रासदी बेहद दुखद है. मेरी संवेदनाएँ उत्तराखंड की जनता के साथ हैं. राहत कर्मी दल के जज्बे को नमन
 
","['चमोली_आपदा', 'उत्तराखंड_आपदा']","{ ""DEATHS"": NaN, ""MISSING"": NaN, ""INJURED"": NaN, ""TRAP"": NaN, ""AFFECTED POPULATION"": NaN, ""PLANT AND ANIMAL LOSS"": NaN, ""HEALTH ISSUES"": NaN, ""FOOD SHORTAGE"": NaN, ""FINANCIAL CRISIS"": NaN, ""INFRASTRUCTURE DAMAGE"": NaN, ""HELP AND RELIEF"": NaN }","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,2021-02-07 08:38:28+00:00,"उत्तराखंड के चमोली जिले के रैनी में ग्लेशियर टूटने से भारी तबाही.ग्लेशियर फटने से धौली नदी में बाढ़ आई.ऋषिगंगा पावर प्रोजेक्ट क्षतिग्रस्त.धौलीगंगा ग्लेशियर की तबाही के साथ तपोवन में बैराज को भी भारी नुकसान.

#Uttarakhand https://t.co/IvSjuebPOt","उत्तराखंड के चमोली जिले के रैनी में ग्लेशियर टूटने से भारी तबाही.ग्लेशियर फटने से धौली नदी में बाढ़ आई.ऋषिगंगा पावर प्रोजेक्ट क्षतिग्रस्त.धौलीगंगा ग्लेशियर की तबाही के साथ तपोवन में बैराज को भी भारी नुकसान.

  ",[],"{
  ""DEATHS"": NaN,
  ""MISSING"": NaN,
  ""TRAP"": NaN,
  ""INJURED"": NaN,
  ""AFFECTED POPULATION"": NaN,
  ""PLANT AND ANIMAL LOSS"": NaN,
  ""HEALTH ISSUES"": NaN,
  ""FOOD SHORTAGE"": NaN,
  ""FINANCIAL CRISIS"": NaN,
  ""INFRASTRUCTURE DAMAGE"": ""पावर प्रोजेक्ट क्षतिग्रस्त"",
  ""HELP AND RELIEF"": NaN
}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-INFRASTRUCTURE DAMAGE', 'I-INFRASTRUCTURE DAMAGE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
